frame.number,frame.time,ip.src,ip.dst,vlan.id,eth.type,tcp.srcport,tcp.dstport
115,Jul 14, 2025 09:56:45.832869000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
116,Jul 14, 2025 09:56:45.833954000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
117,Jul 14, 2025 09:56:45.836790000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
118,Jul 14, 2025 09:56:45.838674000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
119,Jul 14, 2025 09:56:45.881614000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
120,Jul 14, 2025 09:56:45.882487000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
121,Jul 14, 2025 09:56:46.002762000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
122,Jul 14, 2025 09:56:46.004723000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
123,Jul 14, 2025 09:56:46.006674000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
124,Jul 14, 2025 09:56:46.007935000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
125,Jul 14, 2025 09:56:46.053966000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
126,Jul 14, 2025 09:56:46.055681000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
127,Jul 14, 2025 09:56:46.177454000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
128,Jul 14, 2025 09:56:46.180080000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
129,Jul 14, 2025 09:56:46.181698000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
130,Jul 14, 2025 09:56:46.183567000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
131,Jul 14, 2025 09:56:46.234369000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
132,Jul 14, 2025 09:56:46.235120000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
133,Jul 14, 2025 09:56:46.352173000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
134,Jul 14, 2025 09:56:46.354467000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
135,Jul 14, 2025 09:56:46.356873000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
136,Jul 14, 2025 09:56:46.359360000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
137,Jul 14, 2025 09:56:46.408297000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
138,Jul 14, 2025 09:56:46.411032000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
139,Jul 14, 2025 09:56:46.522048000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
140,Jul 14, 2025 09:56:46.523558000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
141,Jul 14, 2025 09:56:46.526528000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
142,Jul 14, 2025 09:56:46.528438000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
143,Jul 14, 2025 09:56:46.572236000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
144,Jul 14, 2025 09:56:46.574787000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
145,Jul 14, 2025 09:56:46.689630000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
146,Jul 14, 2025 09:56:46.691551000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
147,Jul 14, 2025 09:56:46.694390000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
148,Jul 14, 2025 09:56:46.695854000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
149,Jul 14, 2025 09:56:46.747584000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
150,Jul 14, 2025 09:56:46.749731000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
