frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1474","Jul 14, 2025 09:49:51.784154000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1473#1] 64279 → 502 [ACK] Seq=2593 Ack=2306 Win=19072 Len=0"
"1475","Jul 14, 2025 09:49:51.892339000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   270; Unit:   1, Func:   4: Read Input Registers"
"1476","Jul 14, 2025 09:49:51.896184000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2593 Ack=2306 Win=19072 Len=12"
"1477","Jul 14, 2025 09:49:51.900670000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   270; Unit:   1, Func:   4: Read Input Registers"
"1478","Jul 14, 2025 09:49:51.902867000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2306 Ack=2605 Win=502 Len=11"
"1479","Jul 14, 2025 09:49:51.951914000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2605 Ack=2317 Win=19061 Len=0"
"1480","Jul 14, 2025 09:49:51.954200000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1479#1] 64279 → 502 [ACK] Seq=2605 Ack=2317 Win=19061 Len=0"
"1481","Jul 14, 2025 09:49:52.066204000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   271; Unit:   1, Func:   3: Read Holding Registers"
"1482","Jul 14, 2025 09:49:52.068068000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2605 Ack=2317 Win=19061 Len=12"
"1483","Jul 14, 2025 09:49:52.072170000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   271; Unit:   1, Func:   3: Read Holding Registers"
"1484","Jul 14, 2025 09:49:52.074417000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2317 Ack=2617 Win=502 Len=11"
"1485","Jul 14, 2025 09:49:52.125474000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2617 Ack=2328 Win=19050 Len=0"
"1486","Jul 14, 2025 09:49:52.128999000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1485#1] 64279 → 502 [ACK] Seq=2617 Ack=2328 Win=19050 Len=0"
"1487","Jul 14, 2025 09:49:52.248053000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   272; Unit:   1, Func:   1: Read Coils"
"1488","Jul 14, 2025 09:49:52.250592000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2617 Ack=2328 Win=19050 Len=12"
"1489","Jul 14, 2025 09:49:52.253345000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   272; Unit:   1, Func:   1: Read Coils"
"1490","Jul 14, 2025 09:49:52.256426000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2328 Ack=2629 Win=502 Len=10"
"1491","Jul 14, 2025 09:49:52.310901000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2629 Ack=2338 Win=19040 Len=0"
"1492","Jul 14, 2025 09:49:52.313603000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1491#1] 64279 → 502 [ACK] Seq=2629 Ack=2338 Win=19040 Len=0"
"1493","Jul 14, 2025 09:49:52.428176000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   273; Unit:   1, Func:   4: Read Input Registers"
